play_date,home_team,away_team,stadium,match_type
2024-03-28 20:00,Castleford Tigers,Leeds Rhinos,"The Jungle, Castleford",Super League 2024
2024-03-29 12:30,Hull KR,Hull FC,Sewell Group Craven Park,Super League 2024
2024-03-29 15:00,St Helens,Wigan Warriors,Totally Wicked Stadium,Super League 2024
2024-03-30 15:00,Warrington Wolves,Catalans Dragons,Halliwell Jones Stadium,Super League 2024
2024-03-30 17:30,Salford Red Devils,Leigh Leopards,Salford Stadium,Super League 2024
2024-03-31 15:00,London Broncos,Huddersfield Giants,Cherry Red Records Stadium,Super League 2024
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,